### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
6FO8-1	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7EVO-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
5L8R-3		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
8IAH-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
7YMM-14		GO:0009987,GO:0008152,GO:0015979	GO:0016020
7ZM7-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3CW1-9	GO:0003676,GO:0005488		GO:0005634,GO:0016020,GO:0005622
8J07-4	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005576,GO:0005737,GO:0005856
4UER-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5U0S-3			GO:0005634,GO:0016020,GO:0005622
6U42-3	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
6U42-6	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
7PXA-2	GO:0005515,GO:0005488		GO:0005737,GO:0005886,GO:0016020,GO:0005622
6GYM-3			GO:0005634,GO:0016020,GO:0005622
6LKQ-9	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5ZEB-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3JCR-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7YCX-9	GO:0003676,GO:0003677,GO:0005488		
6Y50-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6ZBB-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7ASO-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J7A-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7K01-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7VD5-34		GO:0009987,GO:0008152,GO:0015979	GO:0009536,GO:0005737,GO:0016020,GO:0005622
6Y5Q-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
3CW1-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6WEO-2	GO:0005515,GO:0005488	GO:0009987	GO:0005576
5JB3-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
4WQ1-42	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
1W2B-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7TUT-7			GO:0005737,GO:0016020,GO:0005783,GO:0005622
7ODT-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6IGZ-8		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6VBU-4			GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
6VBU-2			GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
7XSD-1		GO:0009987,GO:0008152,GO:0015979	GO:0005737,GO:0005622
7A5H-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005730,GO:0005737,GO:0005840
7ENC-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677		GO:0005634,GO:0016020,GO:0005654,GO:0005622
5JB3-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
7YCA-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3J9Y-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3CW1-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7DZ7-5		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7UIL-1			GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
5OQJ-3			GO:0005634,GO:0016020,GO:0005622
6ZA9-1	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5TZS-6	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6O9M-6	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6WB9-3			GO:0005737,GO:0016020,GO:0005783,GO:0005622
1RVV-1	GO:0003824,GO:0016740		GO:0005829,GO:0005737,GO:0005622
8IDT-9	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
7A5K-73	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5LN3-1	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
7TJY-4	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6Q97-5	GO:0003676,GO:0005488,GO:0003723		GO:0005829,GO:0005737,GO:0005622
7ODR-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
1WCV-1	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677		
5XNL-3		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7ZM7-3			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6ZMW-4	GO:0003824,GO:0005515,GO:0005488,GO:0016787	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0016020,GO:0005622
5ZET-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6VE7-1	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
5MLC-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
5LI0-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-75		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3J7Z-6	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3JCR-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
5MRC-33			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6KIF-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6I9R-7	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8ESQ-7			GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005654
6ZMR-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7RRO-5	GO:0003824,GO:0016740,GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
6KIF-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6ZVK-82		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6DZI-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6TT7-5	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
6I9R-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J6X-21		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6FF4-1	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005783,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
6WJV-2	GO:0003676,GO:0003677,GO:0005488,GO:0005515	GO:0007049,GO:0009987	GO:0005737,GO:0005634,GO:0016020,GO:0005622
1MDP-1	GO:0005515,GO:0005488		GO:0016020
2GO5-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6PEM-2	GO:0005515,GO:0005488		GO:0005886,GO:0016020
7PZY-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
5NWY-1	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6FTG-5	GO:0003824,GO:0016740		GO:0005783,GO:0016020,GO:0005737,GO:0005622
6VPV-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6YWE-11			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5IVW-3	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7WYI-8		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7O6Y-9			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7O9K-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6XTX-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
6Y50-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7ZM7-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3JBO-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4N9F-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020
6WM2-8	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6YWE-22			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3J6X-22		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8HTU-2		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6IGZ-6		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
1G0U-1	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
7EGB-9	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
7ABG-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
8J07-1	GO:0005515,GO:0005488		GO:0005829,GO:0005737,GO:0005856,GO:0005622
6R86-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8D8K-5			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6QX9-41	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6YBD-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
2RDO-7	GO:0003824,GO:0005488,GO:0016787,GO:0000166	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
6YWX-66			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7A01-72		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YWE-8			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8J07-2	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
7JG5-1	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
3JCO-4	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
5GJR-5	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
4WQ1-35	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5XTH-5			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4N8X-1		GO:0009987,GO:0008152,GO:0015979	
5GAN-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
5GJR-8	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
7ENA-8	GO:0016740,GO:0005488,GO:0003824,GO:0000166,GO:0005515	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654
5MMI-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
6KAF-6		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
4ADX-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6FF4-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6U42-9	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
8GZU-40			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7AS4-2	GO:0005515,GO:0005488,GO:0000166		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005856
8FNI-10	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5TBW-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8GZU-26			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6IJJ-5		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6SPG-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7EVO-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7F9O-7	GO:0003824,GO:0005488	GO:0008152	
5GJR-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
3J6X-12		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
4V19-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3JCJ-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
4WRO-12	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
2GO5-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
5ZZ8-1	GO:0003676,GO:0003677,GO:0005488		
6KIF-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
1YIT-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7YCX-8	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7L20-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0007049,GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8FNI-7	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
3J6X-19	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8A57-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6HE5-2	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0005737,GO:0005622
4L6V-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
7A5G-73	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7R6K-7	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
3JCT-4	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
7JG5-8	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
7ABZ-6	GO:0005488,GO:0003676,GO:0003723,GO:0000166,GO:0005515	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005886,GO:0016020,GO:0005622
7A5F-43	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6VBV-3	GO:0005488,GO:0000166		GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
5U0P-3			GO:0005634,GO:0016020,GO:0005622
8GWA-6		GO:0009987,GO:0008152,GO:0015979	
8IYJ-3	GO:0005515,GO:0005488		GO:0005576,GO:0005737,GO:0005856,GO:0005622
4WQR-45	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6RAZ-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
7UIL-6	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7ML3-4			GO:0005634,GO:0016020,GO:0005622
8CSP-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
6KAD-3		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
5V8F-9	GO:0005515,GO:0005488,GO:0000166	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7ENA-9	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
6T83-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8INF-4	GO:0005488,GO:0003676,GO:0003723,GO:0000166,GO:0005515		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
4WZO-35	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YWE-5	GO:0003676,GO:0005488,GO:0003723		
6RAY-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
5JBH-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
6WB9-5	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
7TGH-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6RQC-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
8GZU-95			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6Y5Q-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7NHN-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7A5F-53	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6WLW-3	GO:0005515,GO:0005488		GO:0005886,GO:0016020
4W2E-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-20	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6YBD-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
8HTU-6		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6RW5-7	GO:0003723,GO:0003676,GO:0005488,GO:0000166	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
3J77-30		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6TT7-3	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
1ETA-1	GO:0005515,GO:0005488	GO:0009987	GO:0005576,GO:0005737,GO:0005622
5V7Q-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-57		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8IYJ-6	GO:0003824,GO:0016740,GO:0005488,GO:0000166		GO:0016020,GO:0005886,GO:0005622,GO:0005576,GO:0005737,GO:0005856
2WSC-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
5JBH-7	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
3J9Y-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8INF-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005840
7ZD6-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5ZJI-1		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7DKF-32			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6B2Z-2	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
3JBO-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WZO-49	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8D8K-4			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J79-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6GCS-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6HV9-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3JA8-2	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6B2Z-1	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
